Batch	Plate_Map_Name	Assay_Plate_Barcode	Cell_Type
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122970	PATU-8988T
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122971	PATU-8988T
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122972	MDA-MB-231
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122973	MDA-MB-231
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122974	U2OS
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122975	U2OS
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122977	A549
2021_04_07_Batch1	CR-12982_Gray_cmpds_AB00027680	BR00122978	A549
