Assay_Plate_Barcode,Cell_Type
BR00122970,PATU-8988T
BR00122971,PATU-8988T
BR00122972,MDA-MB-231
BR00122973,MDA-MB-231
BR00122974,U2OS
BR00122975,U2OS
BR00122978,A549
BR00122977,A549
